State,Year,Quarter,Reg_name,Reg_users,App_opening
telangana,2019,3,nagarkurnool district,126599,3246839
telangana,2019,3,peddapalle district,181084,4336697
telangana,2019,3,nirmal district,81523,1704014
telangana,2019,3,mahabubabad district,105126,2713299
telangana,2019,3,sangareddy district,441944,11628139
telangana,2019,3,wanaparthy district,73946,1764728
telangana,2019,3,vikarabad district,111704,2460013
telangana,2019,3,jagtial district,146602,2633368
telangana,2019,3,yadadri bhuvanagiri district,145955,4028135
telangana,2019,3,medak district,103294,2565238
telangana,2019,3,mahbubnagar district,154856,3665547
telangana,2019,3,jaya shankar bhalupally district,67145,1929596
telangana,2019,3,warangal urban district,381730,12813746
telangana,2019,3,rangareddy district,1826019,70341936
telangana,2019,3,hyderabad district,2071673,75481306
telangana,2019,3,suryapet district,169675,3495231
telangana,2019,3,jogulamba gadwal district,76012,1761344
telangana,2019,3,kamareddy district,126537,2894450
telangana,2019,3,mulugu district,36280,828445
telangana,2019,3,medchal malkajgiri district,1572320,58565898
telangana,2019,3,karimnagar district,274735,6721567
telangana,2019,3,mancherial district,163495,3693261
telangana,2019,3,siddipet district,196397,4923150
telangana,2019,3,khammam district,270101,6340413
telangana,2022,3,narayanpet district,157410,29955283
telangana,2022,3,nalgonda district,758377,93670118
telangana,2022,3,jangaon district,256510,35822117
telangana,2022,3,bhadradri kothagudem district,517431,50653504
telangana,2022,3,warangal rural district,288239,19013375
telangana,2022,3,kumuram bheem asifabad district,142886,26874360
telangana,2022,3,nizamabad district,697031,46177998
telangana,2022,3,adilabad district,202926,31820070
telangana,2022,3,rajanna sircilla district,247866,26496042
telangana,2022,3,nagarkurnool district,360550,61610304
telangana,2022,3,peddapalle district,436008,25775599
telangana,2022,3,nirmal district,235565,34768227
telangana,2022,3,mahabubabad district,286902,27203065
telangana,2022,3,sangareddy district,1106571,57423815
telangana,2022,3,wanaparthy district,204432,23476250
telangana,2022,3,vikarabad district,325303,43278116
telangana,2022,3,jagtial district,397688,32356187
telangana,2022,3,yadadri bhuvanagiri district,384141,50093206
telangana,2022,3,medak district,278966,32430565
telangana,2022,3,mahbubnagar district,418280,36713378
telangana,2022,3,jaya shankar bhalupally district,173372,18695239
telangana,2022,3,warangal urban district,881363,20060029
telangana,2022,3,rangareddy district,4105107,84056871
telangana,2022,3,hyderabad district,4739891,30441899
telangana,2022,3,suryapet district,468196,37304827
telangana,2022,3,jogulamba gadwal district,222094,28532292
telangana,2022,3,kamareddy district,350370,37129247
telangana,2022,3,mulugu district,105383,22624524
telangana,2022,3,medchal malkajgiri district,3463208,31069503
telangana,2022,3,karimnagar district,656534,29267383
telangana,2022,3,mancherial district,413504,36518078
telangana,2022,3,siddipet district,502130,52694134
telangana,2022,3,khammam district,721877,41592039
andaman-&-nicobar-islands,2021,3,north and middle andaman district,9263,759314
andaman-&-nicobar-islands,2021,3,south andaman district,55873,1771107
andaman-&-nicobar-islands,2021,3,nicobars district,1846,591204
andaman-&-nicobar-islands,2020,3,north and middle andaman district,5355,76553
andaman-&-nicobar-islands,2020,3,south andaman district,34833,417785
andaman-&-nicobar-islands,2020,3,nicobars district,1147,21227
andaman-&-nicobar-islands,2023,3,north and middle andaman district,14216,7130284
andaman-&-nicobar-islands,2023,3,south andaman district,83305,5950899
andaman-&-nicobar-islands,2023,3,nicobars district,2734,7463896
andaman-&-nicobar-islands,2018,3,north and middle andaman district,1208,0
andaman-&-nicobar-islands,2018,3,south andaman district,10474,0
andaman-&-nicobar-islands,2018,3,nicobars district,467,0
andaman-&-nicobar-islands,2019,3,north and middle andaman district,2662,22064
andaman-&-nicobar-islands,2019,3,south andaman district,20518,138190
andaman-&-nicobar-islands,2019,3,nicobars district,751,10853
andaman-&-nicobar-islands,2022,3,north and middle andaman district,11897,1176567
andaman-&-nicobar-islands,2022,3,south andaman district,70445,3607286
andaman-&-nicobar-islands,2022,3,nicobars district,2300,1284501
jharkhand,2021,3,ramgarh district,250016,8757056
jharkhand,2021,3,ranchi district,982147,27974257
jharkhand,2021,3,east singhbhum district,642805,16207989
jharkhand,2021,3,jamtara district,113199,2531677
jharkhand,2021,3,dumka district,124101,5890404
jharkhand,2021,3,koderma district,143395,6604614
jharkhand,2021,3,hazaribagh district,424328,21020796
jharkhand,2021,3,simdega district,35666,3575214
jharkhand,2021,3,garhwa district,160500,11129378
jharkhand,2021,3,saraikela kharsawan district,205625,7269417
jharkhand,2021,3,gumla district,68433,5329594
jharkhand,2021,3,chatra district,123490,9659396
jharkhand,2021,3,khunti district,41000,3160466
jharkhand,2021,3,dhanbad district,759888,15713561
jharkhand,2021,3,godda district,136332,4910183
jharkhand,2021,3,deoghar district,327586,6505237
jharkhand,2021,3,palamu district,289617,15151980
jharkhand,2021,3,latehar district,78586,7273256
jharkhand,2021,3,west singhbhum district,138137,8303956
jharkhand,2021,3,pakur district,62824,2830933
jharkhand,2021,3,lohardaga district,51347,2426133
jharkhand,2021,3,sahebganj district,103775,4587932
jharkhand,2021,3,giridih district,337529,16247750
jharkhand,2021,3,bokaro district,551517,17414819
jharkhand,2020,3,ramgarh district,182149,4719920
jharkhand,2020,3,ranchi district,722352,14371567
jharkhand,2020,3,east singhbhum district,476881,9601377
jharkhand,2020,3,jamtara district,82584,1071457
jharkhand,2020,3,dumka district,88903,1564610
jharkhand,2020,3,koderma district,103523,2918884
jharkhand,2020,3,hazaribagh district,306623,8188515
jharkhand,2020,3,simdega district,24233,453592
